	mass_A
t	x
2.409000E1	-2.648524E-1
2.409333E1	-2.648763E-1
2.409833E1	-2.650798E-1
2.410167E1	-2.651341E-1
2.410667E1	-2.651955E-1
2.411500E1	-2.651575E-1
2.411833E1	-2.650185E-1
2.412333E1	-2.651707E-1
2.412667E1	-2.651422E-1
2.413167E1	-2.650894E-1
2.413500E1	-2.651105E-1
2.414000E1	-2.649939E-1
2.414333E1	-2.649912E-1
2.414833E1	-2.649685E-1
2.415167E1	-2.649616E-1
2.415667E1	-2.647547E-1
2.416000E1	-2.645779E-1
2.416500E1	-2.645723E-1
2.417333E1	-2.639397E-1
2.418167E1	-2.638097E-1
2.418500E1	-2.635671E-1
2.419000E1	-2.634245E-1
2.419333E1	-2.631043E-1
2.419833E1	-2.630896E-1
2.420167E1	-2.627543E-1
2.420667E1	-2.623722E-1
2.421000E1	-2.620560E-1
2.421500E1	-2.619666E-1
2.421833E1	-2.611919E-1
2.422333E1	-2.608447E-1
2.422667E1	-2.600956E-1
2.423500E1	-2.597134E-1
2.424000E1	-2.589159E-1
2.424833E1	-2.585634E-1
2.425167E1	-2.581067E-1
2.425667E1	-2.577327E-1
2.426000E1	-2.570301E-1
2.426500E1	-2.569132E-1
2.426833E1	-2.565728E-1
2.427333E1	-2.561895E-1
2.427667E1	-2.553949E-1
2.428167E1	-2.550244E-1
2.428500E1	-2.542793E-1
2.429000E1	-2.539487E-1
2.429333E1	-2.520487E-1
2.430667E1	-2.516245E-1
2.431000E1	-2.550523E-1
2.431500E1	-2.501045E-1
2.431833E1	-2.500306E-1
2.432667E1	-2.524026E-1
2.433167E1	-2.531930E-1
2.433500E1	-2.535467E-1
2.434000E1	-2.520220E-1
2.434333E1	-2.531725E-1
2.434833E1	-2.500147E-1
2.435167E1	-2.496471E-1
2.435667E1	-2.489251E-1
2.436000E1	-2.474342E-1
2.436500E1	-2.465721E-1
2.436833E1	-2.404683E-1
2.437667E1	-2.397255E-1
2.438167E1	-2.389812E-1
2.438500E1	-2.381899E-1
2.439000E1	-2.373882E-1
2.439333E1	-2.397468E-1
2.439833E1	-2.389068E-1
2.440167E1	-2.342796E-1
2.440667E1	-2.331558E-1
2.441000E1	-2.319630E-1
2.441500E1	-2.308510E-1
2.441833E1	-2.297333E-1
2.442333E1	-2.278426E-1
2.443167E1	-2.269776E-1
2.443500E1	-2.262055E-1
2.444000E1	-2.251130E-1
2.444333E1	-2.240015E-1
2.444833E1	-2.231512E-1
2.445167E1	-2.219808E-1
2.445667E1	-2.208955E-1
2.446000E1	-2.200527E-1
2.446500E1	-2.185543E-1
2.446833E1	-2.178986E-1
2.447333E1	-2.169763E-1
2.447667E1	-2.161699E-1
2.448167E1	-2.151247E-1
2.448500E1	-2.113054E-1
2.449833E1	-2.097623E-1
2.450167E1	-2.089668E-1
2.450667E1	-2.074012E-1
2.451000E1	-2.051819E-1
2.451833E1	-2.038922E-1
2.452333E1	-2.027454E-1
2.452667E1	-2.017258E-1
2.453167E1	-2.004173E-1
2.453500E1	-1.992757E-1
2.454000E1	-1.978717E-1
2.454333E1	-1.966743E-1
2.454833E1	-1.958019E-1
2.455167E1	-1.917267E-1
2.456500E1	-1.905319E-1
2.456833E1	-1.893168E-1
2.457333E1	-1.877938E-1
2.457667E1	-1.864065E-1
2.458167E1	-1.850779E-1
2.458500E1	-1.838615E-1
2.459000E1	-1.825416E-1
2.459333E1	-1.809349E-1
2.459833E1	-1.797896E-1
2.460167E1	-1.784860E-1
2.460667E1	-1.769943E-1
2.461167E1	-1.758112E-1
2.461500E1	-1.731998E-1
2.462333E1	-1.716101E-1
2.462833E1	-1.689130E-1
2.463667E1	-1.674895E-1
2.464000E1	-1.659798E-1
2.464500E1	-1.645027E-1
2.464833E1	-1.629254E-1
2.465333E1	-1.614021E-1
2.465667E1	-1.598448E-1
2.466167E1	-1.583996E-1
