	mass_A
t	x
2.356000E1	9.986316E-2
2.356333E1	9.830979E-2
2.356833E1	9.678204E-2
2.357167E1	9.528618E-2
2.357667E1	9.372340E-2
2.358000E1	9.220737E-2
2.358500E1	9.063591E-2
2.358833E1	8.912190E-2
2.359333E1	8.477699E-2
2.360500E1	8.331685E-2
2.361000E1	8.182097E-2
2.361333E1	8.053970E-2
2.361833E1	7.907656E-2
2.362167E1	7.757564E-2
2.362667E1	7.631240E-2
2.363000E1	7.479484E-2
2.363500E1	7.364497E-2
2.363833E1	7.214539E-2
2.364333E1	7.062770E-2
2.364667E1	6.940612E-2
2.365167E1	6.796254E-2
2.365500E1	6.371910E-2
2.366833E1	6.257088E-2
2.367167E1	6.104203E-2
2.367667E1	5.983603E-2
2.368000E1	5.715057E-2
2.368833E1	5.598659E-2
2.369333E1	5.450126E-2
2.369667E1	5.328029E-2
2.370167E1	5.209110E-2
2.370500E1	5.091492E-2
2.371000E1	4.976260E-2
2.371333E1	4.831886E-2
2.371833E1	4.713377E-2
2.372167E1	4.598072E-2
2.372667E1	4.447818E-2
2.373000E1	4.220086E-2
2.373833E1	4.099058E-2
2.374333E1	3.979389E-2
2.374667E1	3.864195E-2
2.375167E1	3.752334E-2
2.375500E1	3.633493E-2
2.376000E1	3.526972E-2
2.376333E1	3.406070E-2
2.376833E1	3.292343E-2
2.377167E1	3.176164E-2
2.377667E1	3.060942E-2
2.378000E1	2.863578E-2
2.378833E1	2.636799E-2
2.379667E1	2.553061E-2
2.380167E1	2.447910E-2
2.380500E1	2.362574E-2
2.381000E1	2.254202E-2
2.381333E1	2.169484E-2
2.381833E1	2.059846E-2
2.382167E1	1.976023E-2
2.382667E1	1.896541E-2
2.383000E1	1.786457E-2
2.383500E1	1.709544E-2
2.383833E1	1.630103E-2
2.384333E1	1.519658E-2
2.384667E1	2.092418E-2
2.385500E1	1.901784E-2
2.386333E1	1.165222E-2
2.386833E1	1.056343E-2
2.387167E1	9.746845E-3
2.387667E1	8.658060E-3
2.388000E1	8.385864E-3
2.388500E1	7.297080E-3
2.388833E1	6.480491E-3
2.389333E1	6.208295E-3
2.389667E1	5.391707E-3
2.390167E1	4.575118E-3
2.390500E1	4.030726E-3
2.391000E1	3.214138E-3
2.391333E1	2.669745E-3
2.392167E1	1.580961E-3
2.392667E1	4.921764E-4
2.393000E1	-5.221584E-5
2.393500E1	-5.966081E-4
2.393833E1	-5.966081E-4
2.394333E1	4.399148E-3
2.394667E1	-1.957589E-3
2.395167E1	3.627139E-3
2.395667E1	-2.774177E-3
2.396000E1	-3.590766E-3
2.396500E1	-4.135158E-3
2.396833E1	1.321986E-3
2.397333E1	-5.223942E-3
2.398167E1	-6.857119E-3
2.399000E1	-7.129315E-3
2.399333E1	-7.129315E-3
2.399833E1	-7.401511E-3
2.400167E1	-7.673707E-3
2.400667E1	-8.218100E-3
2.401000E1	-8.218100E-3
2.401500E1	-8.490296E-3
2.401833E1	-8.490296E-3
2.402333E1	-8.490296E-3
2.402667E1	-8.490296E-3
2.403167E1	-9.034688E-3
2.403500E1	-9.851276E-3
2.404000E1	-9.851276E-3
2.404833E1	-6.766213E-3
2.405667E1	-1.039567E-2
2.406000E1	-1.094006E-2
2.406500E1	-9.073337E-3
2.406833E1	-8.688028E-3
2.407333E1	-8.687628E-3
2.407667E1	-1.148445E-2
2.408167E1	-1.148445E-2
2.408500E1	-1.175665E-2
2.409000E1	-1.175665E-2
2.409333E1	-1.175665E-2
2.409833E1	-1.202885E-2
2.410167E1	-9.458513E-3
2.410667E1	-1.202885E-2
