"t(s)","a(m/s²)"
5.282442333E0,9.788744202E0
5.292431333E0,9.786199493E0
5.302419333E0,9.785750427E0
5.312408333E0,9.764943695E0
5.322394333E0,9.756860504E0
5.332382333E0,9.754166107E0
5.342369333E0,9.760453033E0
5.352357333E0,9.763297119E0
5.362346333E0,9.771679688E0
5.372333333E0,9.768236847E0
5.382321333E0,9.765692139E0
5.392310333E0,9.765392761E0
5.402298333E0,9.774074707E0
5.412286333E0,9.784552917E0
5.422274333E0,9.776918793E0
5.432263333E0,9.775272217E0
5.442251333E0,9.771380310E0
5.452240333E0,9.765093384E0
5.462227333E0,9.783954163E0
5.472215333E0,9.768685913E0
5.482203333E0,9.768685913E0
5.492191333E0,9.754465485E0
5.502179333E0,9.755962372E0
5.512166333E0,9.767488403E0
5.522152333E0,9.759105835E0
5.532139333E0,9.752070465E0
5.542126333E0,9.776918793E0
5.552113333E0,9.766290894E0
5.562099333E0,9.765243073E0
5.572087333E0,9.764943695E0
5.582074333E0,9.778116302E0
5.592060333E0,9.774673462E0
5.602048333E0,9.771080933E0
5.612034333E0,9.748328247E0
5.622022333E0,9.749226379E0
5.632009333E0,9.785301361E0
5.641995333E0,9.770931244E0
5.651982333E0,9.757010193E0
5.661969333E0,9.765243073E0
5.671956333E0,9.784403229E0
5.681944458E0,9.767787781E0
5.691932458E0,9.751920776E0
5.701918458E0,9.784852295E0
5.711905458E0,9.801318054E0
5.721892458E0,9.757908325E0
5.731880458E0,9.773775330E0
5.741866458E0,9.759105835E0
5.751853458E0,9.757758636E0
5.761841458E0,9.765542450E0
5.771828458E0,9.760153656E0
5.781816458E0,9.762398987E0
5.791803458E0,9.752220154E0
5.801792458E0,9.765093384E0
5.811779458E0,9.758956146E0
5.821765458E0,9.783056030E0
5.831752458E0,9.780810699E0
5.841740458E0,9.779762878E0
5.851728458E0,9.758507080E0
5.861715458E0,9.762548676E0
5.871702458E0,9.772577820E0
5.881688458E0,9.761051788E0
5.891675458E0,9.745933228E0
5.901662458E0,9.773026886E0
5.911650458E0,9.781259766E0
5.921636458E0,9.778864746E0
5.931624458E0,9.758956146E0
5.941612458E0,9.756112061E0
5.951599458E0,9.762848053E0
5.961588458E0,9.774074707E0
5.971579458E0,9.770931244E0
5.981569458E0,9.759854279E0
5.991558458E0,9.768236847E0
6.001546458E0,9.778715057E0
6.011533458E0,9.774374084E0
6.021521458E0,9.768087158E0
6.031508458E0,9.759704590E0
6.041496458E0,9.769733734E0
6.051484458E0,9.764644318E0
6.061472458E0,9.762848053E0
6.071461458E0,9.769883423E0
