	mass_B
t	x
2.414000E1	-4.399160E-2
2.414333E1	-4.399160E-2
2.414833E1	-4.399160E-2
2.415167E1	-4.399160E-2
2.415667E1	-4.364866E-2
2.416000E1	-4.261984E-2
2.416500E1	-4.227690E-2
2.417333E1	-4.159102E-2
2.418167E1	-4.090514E-2
2.418500E1	-4.021926E-2
2.419000E1	-3.919044E-2
2.419333E1	-3.884750E-2
2.419833E1	-4.090514E-2
2.420167E1	-3.987632E-2
2.420667E1	-3.884750E-2
2.421000E1	-4.021926E-2
2.421500E1	-3.953338E-2
2.421833E1	-3.850456E-2
2.422333E1	-3.781868E-2
2.422667E1	-3.713280E-2
2.423500E1	-3.713280E-2
2.424000E1	-3.576104E-2
2.424833E1	-3.644692E-2
2.425167E1	-3.507516E-2
2.425667E1	-3.404634E-2
2.426000E1	-3.336046E-2
2.426500E1	-3.233164E-2
2.426833E1	-3.198870E-2
2.427333E1	-3.164576E-2
2.427667E1	-3.164576E-2
2.428167E1	-3.095988E-2
2.428500E1	-3.061694E-2
2.429000E1	-3.027400E-2
2.429333E1	-2.821636E-2
2.430667E1	-2.787342E-2
2.431000E1	-2.581577E-2
2.431500E1	-2.581577E-2
2.431833E1	-2.512989E-2
2.432667E1	-2.444401E-2
