	mass_A
t	x
4.785000E0	1.309176E2
4.790000E0	1.301736E2
4.793333E0	1.300152E2
4.798333E0	1.291959E2
4.801667E0	1.278645E2
4.806667E0	1.267458E2
4.810000E0	1.260269E2
4.815000E0	1.250347E2
4.818333E0	1.240417E2
4.823333E0	1.230557E2
4.826667E0	1.224012E2
4.830000E0	1.218426E2
4.835000E0	1.208712E2
4.838333E0	1.197942E2
4.843333E0	1.190888E2
4.846667E0	1.181429E2
4.851667E0	1.168331E2
4.855000E0	1.161860E2
4.860000E0	1.147044E2
4.863333E0	1.143168E2
4.868333E0	1.132311E2
4.871667E0	1.118610E2
4.876667E0	1.111949E2
4.880000E0	1.100446E2
4.885000E0	1.091138E2
4.888333E0	1.080323E2
4.893333E0	1.068188E2
4.896667E0	1.052817E2
4.901667E0	1.039371E2
4.905000E0	1.029845E2
4.910000E0	1.017708E2
4.913333E0	9.994369E1
4.918333E0	9.880951E1
4.921667E0	9.787407E1
4.926667E0	9.617396E1
4.930000E0	9.489967E1
4.935000E0	9.383782E1
4.938333E0	9.207955E1
4.943333E0	9.084666E1
4.946667E0	9.015834E1
4.951667E0	8.890804E1
4.955000E0	8.661164E1
4.960000E0	8.634361E1
4.963333E0	8.473497E1
4.968333E0	8.231943E1
4.971667E0	8.225419E1
4.976667E0	8.030708E1
4.980000E0	7.864248E1
4.985000E0	7.753848E1
4.988333E0	7.576642E1
4.993333E0	7.467140E1
4.996667E0	7.292315E1
5.001667E0	7.193545E1
5.005000E0	6.984613E1
5.010000E0	6.884157E1
5.013333E0	6.699120E1
5.018333E0	6.540164E1
5.021667E0	6.377030E1
5.026667E0	6.258023E1
5.030000E0	6.119829E1
5.035000E0	6.006092E1
5.038333E0	5.823588E1
5.043333E0	5.719887E1
5.046667E0	5.583550E1
5.051667E0	5.419048E1
5.055000E0	5.248462E1
5.060000E0	5.050997E1
5.063333E0	4.894360E1
5.068333E0	4.822485E1
5.071667E0	4.593154E1
5.076667E0	4.495772E1
5.080000E0	4.269271E1
5.085000E0	4.140331E1
5.088333E0	4.021173E1
5.093333E0	3.872066E1
5.096667E0	3.713629E1
5.101667E0	3.562716E1
5.105000E0	3.401856E1
5.110000E0	3.197326E1
5.113333E0	3.035980E1
5.118333E0	2.881742E1
5.121667E0	2.721193E1
5.126667E0	2.609461E1
5.130000E0	2.410775E1
5.135000E0	2.328840E1
5.138333E0	2.149614E1
5.143333E0	2.031200E1
5.146667E0	1.846987E1
5.151667E0	1.724681E1
5.155000E0	1.542130E1
5.160000E0	1.430389E1
5.163333E0	1.239865E1
5.168333E0	1.135452E1
5.171667E0	9.222770E0
5.176667E0	8.091645E0
5.180000E0	6.080158E0
5.185000E0	5.197199E0
5.188333E0	3.138921E0
5.193333E0	2.248673E0
5.196667E0	2.457599E-1
5.201667E0	-7.704256E-1
5.205000E0	-2.988428E0
5.210000E0	-3.933906E0
5.213333E0	-5.914053E0
5.216667E0	-6.945413E0
5.221667E0	-8.894911E0
5.225000E0	-9.652296E0
5.230000E0	-1.169002E1
5.233333E0	-1.275264E1
5.238333E0	-1.447579E1
5.241667E0	-1.621545E1
5.246667E0	-1.783618E1
5.250000E0	-1.862457E1
5.255000E0	-2.084199E1
5.258333E0	-2.159232E1
5.263333E0	-2.317641E1
5.266667E0	-2.552067E1
5.271667E0	-2.690392E1
5.275000E0	-2.866184E1
5.280000E0	-3.013432E1
5.283333E0	-3.084184E1
5.288333E0	-3.235368E1
5.291667E0	-3.413301E1
5.296667E0	-3.513036E1
5.300000E0	-3.718790E1
5.305000E0	-3.817269E1
5.308333E0	-4.010689E1
5.313333E0	-4.093654E1
5.316667E0	-4.234965E1
5.321667E0	-4.404502E1
5.325000E0	-4.477075E1
5.330000E0	-4.665970E1
5.333333E0	-4.818704E1
5.338333E0	-4.900058E1
5.341667E0	-5.101643E1
5.346667E0	-5.183151E1
5.350000E0	-5.283446E1
5.355000E0	-5.385862E1
5.358333E0	-5.519354E1
5.363333E0	-5.679439E1
5.366667E0	-5.804823E1
5.371667E0	-5.892675E1
5.375000E0	-5.993317E1
5.380000E0	-6.095757E1
5.383333E0	-6.290900E1
5.388333E0	-6.439944E1
5.391667E0	-6.545901E1
5.396667E0	-6.565887E1
5.400000E0	-6.689975E1
5.405000E0	-6.799422E1
5.408333E0	-6.944884E1
5.413333E0	-7.045488E1
5.416667E0	-7.173385E1
5.421667E0	-7.285594E1
5.425000E0	-7.386667E1
5.430000E0	-7.475711E1
5.433333E0	-7.582647E1
5.438333E0	-7.682028E1
5.441667E0	-7.761223E1
5.446667E0	-7.851637E1
5.450000E0	-7.959262E1
5.455000E0	-8.050914E1
5.458333E0	-8.104073E1
5.463333E0	-8.214181E1
5.466667E0	-8.295545E1
5.471667E0	-8.389727E1
5.475000E0	-8.502872E1
5.480000E0	-8.617637E1
5.483333E0	-8.711084E1
5.488333E0	-8.772656E1
5.491667E0	-8.827991E1
5.496667E0	-8.882690E1
5.500000E0	-9.021302E1
5.505000E0	-9.111643E1
5.508333E0	-9.138324E1
5.513333E0	-9.161100E1
5.516667E0	-9.293784E1
5.521667E0	-9.340558E1
5.525000E0	-9.373855E1
5.530000E0	-9.475549E1
5.533333E0	-9.450259E1
5.538333E0	-9.652184E1
5.541667E0	-9.649590E1
5.546667E0	-9.678583E1
5.550000E0	-9.755084E1
5.555000E0	-9.769059E1
5.558333E0	-9.847058E1
5.563333E0	-9.916015E1
5.566667E0	-9.970761E1
5.571667E0	-9.963488E1
5.575000E0	-9.968630E1
5.580000E0	-1.008928E2
5.583333E0	-1.008498E2
5.588333E0	-1.008627E2
5.591667E0	-1.015117E2
5.596667E0	-1.023548E2
5.600000E0	-1.022523E2
5.603333E0	-1.029740E2
5.608333E0	-1.027601E2
5.611667E0	-1.032689E2
5.616667E0	-1.039548E2
5.620000E0	-1.044476E2
5.625000E0	-1.036407E2
5.628333E0	-1.040523E2
5.633333E0	-1.047019E2
5.636667E0	-1.052272E2
5.641667E0	-1.048281E2
5.645000E0	-1.051882E2
5.650000E0	-1.047797E2
5.653333E0	-1.050465E2
5.658333E0	-1.050326E2
5.661667E0	-1.051781E2
5.666667E0	-1.054598E2
5.670000E0	-1.049648E2
5.675000E0	-1.054158E2
5.678333E0	-1.054830E2
5.683333E0	-1.052253E2
5.686667E0	-1.053911E2
5.691667E0	-1.049998E2
5.695000E0	-1.047685E2
5.700000E0	-1.051291E2
5.703333E0	-1.045214E2
5.708333E0	-1.054869E2
5.711667E0	-1.051242E2
5.716667E0	-1.045402E2
5.720000E0	-1.041325E2
5.725000E0	-1.036840E2
5.728333E0	-1.044434E2
5.733333E0	-1.040179E2
5.736667E0	-1.034313E2
5.741667E0	-1.028801E2
5.745000E0	-1.025642E2
5.750000E0	-1.019439E2
5.753333E0	-1.017796E2
5.758333E0	-1.008911E2
5.761667E0	-1.010267E2
5.766667E0	-1.003010E2
5.770000E0	-9.973510E1
5.775000E0	-9.925533E1
5.778333E0	-9.855102E1
5.783333E0	-9.853930E1
5.786667E0	-9.831063E1
5.791667E0	-9.773183E1
5.795000E0	-9.662939E1
5.800000E0	-9.580392E1
5.803333E0	-9.595889E1
5.808333E0	-9.464501E1
5.811667E0	-9.428166E1
5.816667E0	-9.414577E1
5.820000E0	-9.280795E1
5.825000E0	-9.214131E1
5.828333E0	-9.226685E1
5.833333E0	-9.076320E1
5.836667E0	-9.006952E1
5.841667E0	-8.997336E1
5.845000E0	-8.860978E1
5.850000E0	-8.779233E1
5.853333E0	-8.680835E1
5.858333E0	-8.585162E1
5.861667E0	-8.507221E1
5.866667E0	-8.454393E1
5.870000E0	-8.402033E1
5.875000E0	-8.270071E1
5.878333E0	-8.162512E1
5.883333E0	-8.059253E1
5.886667E0	-8.047279E1
5.891667E0	-7.839554E1
5.895000E0	-7.736506E1
5.900000E0	-7.653097E1
5.903333E0	-7.610908E1
5.908333E0	-7.489826E1
5.911667E0	-7.373748E1
5.916667E0	-7.318521E1
5.920000E0	-7.185799E1
5.925000E0	-7.133399E1
5.928333E0	-7.042682E1
